speaker	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb
Kaufman	1	0	0	0	1	0	0	2	1	1	0	0	1	0	3	1	7	1	1	0	0	1	1	0	1	3
Kaufman	1	0	1	1	0	0	0	0	2	0	1	0	0	0	2	0	4	2	0	0	0	1	0	0	0	0
Kaufman	1	1	0	1	0	0	1	2	2	2	0	0	1	1	4	1	7	1	0	0	0	2	1	0	0	3
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	2	0	0	0	4	0	1	2	3	3	0	0	3	0	5	0	12	0	2	0	0	0	3	0	1	10
Kaufman	2	0	0	0	4	0	1	2	3	2	1	0	2	0	5	1	9	0	1	0	0	0	2	0	1	5
Kaufman	2	0	0	0	0	0	1	2	1	1	0	0	1	0	3	0	7	0	0	0	0	2	1	0	1	5
Kaufman	2	0	0	0	1	0	0	1	2	2	0	0	2	0	3	0	5	0	1	0	0	0	0	0	0	5
Kaufman	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	1	0	1	1
Kaufman	2	0	0	0	1	0	0	2	0	0	0	0	0	0	2	3	9	0	0	0	0	2	5	1	2	4
Kaufman	2	1	0	0	4	0	1	1	3	1	2	0	3	0	4	0	14	4	1	0	0	3	3	1	2	7
Kaufman	2	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	4	1	0	0	0	0	2	1	1	2
Kaufman	2	0	0	0	4	0	0	0	1	0	1	0	1	0	1	5	10	2	4	0	0	1	2	0	1	3
Kaufman	2	1	0	0	2	0	1	2	1	0	1	0	1	0	3	1	10	2	1	0	0	3	2	0	1	4
Kaufman	2	1	1	0	0	0	0	0	2	0	1	0	1	0	2	1	8	3	0	0	0	1	2	0	0	2
Kaufman	2	0	0	0	2	0	0	3	1	1	0	0	1	0	4	1	10	1	1	0	0	2	2	0	1	5
Kaufman	2	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	3	0	0	0	0	0	0	0	1	2
Kaufman	2	0	1	0	2	0	0	0	2	0	1	0	0	0	2	0	5	3	0	0	0	2	0	0	0	0
Kaufman	2	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	5	2	0	0	0	0	1	0	1	1
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	2	1	1	0	2	0	1	2	2	1	0	0	1	0	4	1	13	2	4	0	0	1	2	0	4	7
Kaufman	2	1	0	0	3	0	2	1	5	1	4	0	3	0	6	1	24	5	2	0	0	1	6	2	3	13
Kaufman	2	0	0	0	2	0	1	1	3	0	3	0	2	0	4	1	11	3	1	0	0	0	2	1	1	4
Kaufman	2	0	2	0	2	0	2	1	4	1	1	0	2	0	5	2	12	2	0	0	0	1	2	0	1	5
Kaufman	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Kaufman	0	0	1	0	2	0	1	2	1	0	0	0	0	0	3	0	12	6	0	0	0	1	0	0	0	3
Kaufman	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
Kaufman	0	0	0	0	3	0	0	0	2	0	2	0	2	0	2	1	3	0	1	0	0	0	0	0	0	2
Kaufman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
Kaufman	0	0	1	0	0	0	1	2	2	0	1	0	0	0	4	2	10	3	0	0	0	0	0	0	0	2
Kaufman	2	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	2	0	0	0	0	0	1	0	0	2
Kaufman	2	0	2	0	0	0	1	0	3	0	1	0	1	0	3	0	6	2	0	0	0	0	1	0	0	2
Kaufman	0	1	1	0	1	0	0	1	1	0	0	0	0	0	2	0	5	0	1	0	0	0	0	0	1	2
Kaufman	1	0	0	0	2	0	0	0	2	0	1	1	1	1	2	0	7	0	2	0	0	1	1	0	2	4
Kaufman	1	0	2	0	2	0	0	0	2	0	0	0	0	0	2	1	5	2	0	0	0	0	0	0	0	0
Kaufman	1	0	1	0	1	0	1	0	3	0	2	0	1	0	3	0	5	1	0	0	0	0	1	0	0	2
Kaufman	2	0	0	1	0	0	0	1	1	0	1	0	1	0	2	1	4	0	0	0	0	0	1	1	0	3
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	1	0	0	0	1	0	1	2	2	0	2	0	2	0	4	2	9	0	1	0	0	0	0	2	0	7
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaufman	2	1	0	0	5	0	0	1	4	3	1	0	4	0	5	2	16	5	0	0	0	1	2	0	1	5
Kaufman	2	0	0	0	3	0	0	0	4	0	4	0	4	0	4	0	8	0	3	0	0	0	0	4	0	8
Kaufman	2	0	0	0	4	0	0	3	2	0	1	1	1	1	5	2	8	1	3	0	0	0	1	0	0	2
Kaufman	2	1	0	0	1	0	1	1	1	0	1	0	1	0	2	2	9	2	0	0	0	0	1	0	0	4
Kaufman	2	0	0	0	3	0	0	2	1	0	1	0	1	0	3	3	8	3	1	0	0	1	0	0	0	3
