"speaker"	"task"	"stance"	"o"	"s"	"c"	"a"	"d"	"r"	"f"	"t"	"e"	"i"	"x"	"b"	"period"	"comma"	"questionmark"	"exclamationmark"	"pronoun"	"ipron"	"ppron"	"singPPron"	"plurPPron"	"1stPPron"	"2ndPPron"	"3rdPPron"	"defArt"	"indefArt"	"function"	"prep"	"conj"	"filler"	"nonflu"	"swear"	"tentat"	"differ"	"discrep"	"certain"
"139"	"NWM053"	"3I"	"1"	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0
"140"	"NWM053"	"3I"	"1"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
"141"	"NWM053"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0
"142"	"NWM053"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"143"	"NWM053"	"3I"	"1"	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"144"	"NWM053"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"145"	"NWM053"	"3I"	"2"	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1
"146"	"NWM053"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"147"	"NWM053"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"148"	"NWM053"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0
"150"	"NWM053"	"3I"	"1"	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0
"153"	"NWM053"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"155"	"NWM053"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"156"	"NWM053"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"157"	"NWM053"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0
"158"	"NWM053"	"3I"	"1"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0
"160"	"NWM053"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"163"	"NWM053"	"3I"	"2"	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0
"164"	"NWM053"	"3I"	"1"	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0
"165"	"NWM053"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
"167"	"NWM053"	"3I"	"1"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"168"	"NWM053"	"3I"	"1"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"169"	"NWM053"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0
"170"	"NWM053"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
"171"	"NWM053"	"3I"	"1"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
