speaker	task	stance	indefArt	defArt	questionmark	comma	exclamationmark	period	ipron	ppron	firstPPron	secondPPron	thirdPPron	singPPron	plurPPron	pronoun	conj	function_word	prep	nonflu	filler	swear	tentat	differ	discrep	certain	auxverb
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0
NWF089	3I	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	1	0	0	1
NWF089	3I	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	3I	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	2	1	0	0	0	0	1	2	0	0	0	0	0	0	2	0	11	1	1	0	0	2	3	2	1	6
NWF089	3I	1	0	0	0	0	0	2	0	1	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	2
NWF089	3I	1	0	0	1	3	0	1	1	3	2	1	0	2	1	4	0	7	0	1	0	0	0	0	0	2	7
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	3I	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	5	1	0	0	0	0	0	0	1	2
NWF089	3I	2	1	0	0	3	0	1	2	2	2	0	0	2	0	4	2	13	2	1	0	0	0	0	0	2	7
NWF089	6B	2	0	0	0	1	0	1	2	2	2	0	0	1	1	4	2	8	1	1	0	0	0	1	0	1	4
NWF089	6B	3	1	0	0	8	0	6	5	10	8	1	1	5	5	15	11	49	4	1	0	0	7	9	4	5	22
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NWF089	6B	2	0	0	0	0	0	1	1	1	1	0	0	1	0	2	0	6	0	0	0	0	0	1	2	1	5
NWF089	6B	2	0	0	0	0	0	3	0	3	3	0	0	3	0	3	0	6	1	1	0	0	1	1	0	0	4
NWF089	6B	2	0	0	0	1	1	0	2	1	1	0	0	1	0	3	0	9	0	0	0	0	0	2	1	2	8
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	1	0	0	0	0	1	1	1	1	0	0	1	0	2	0	4	0	0	0	0	0	0	0	1	3
NWF089	6B	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NWF089	6B	2	0	0	0	0	0	2	1	1	1	0	0	1	0	2	0	7	2	0	0	0	0	0	1	0	4
NWF089	6B	1	0	0	0	1	0	0	0	2	2	0	0	1	1	2	0	3	0	1	0	0	0	0	1	0	3
NWF089	6B	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
