together	0.00042891171311933705	56	['2', '1']
learning	2.2977413202821626e-05	3	['2', '0']
bakery	5.361396413991713e-05	7	['0', '1']
health	0.000551457916867719	72	['3', '2', '1', '0']
outliers	7.659137734273875e-06	1	['1']
twice	7.659137734273875e-06	1	['0']
filing	7.659137734273875e-06	1	['0']
test	2.2977413202821626e-05	3	['2', '1']
bout	0.0006203901564761839	81	['3', '2', '1', '0']
parked	1.531827546854775e-05	2	['0']
electrical	1.531827546854775e-05	2	['2', '1']
feed	7.659137734273875e-06	1	['2']
that's-	7.659137734273875e-06	1	['2']
allow	1.531827546854775e-05	2	['2', '1']
d-	7.659137734273875e-06	1	['2']
staff	7.659137734273875e-06	1	['2']
personally	0.00011488706601410813	15	['3', '2', '1']
mm-mm	5.361396413991713e-05	7	['2', '0']
lift	7.659137734273875e-06	1	['2']
costs	7.659137734273875e-06	1	['2']
taxis	0.0001302053414826559	17	['3', '2', '1', '0']
whales	7.659137734273875e-06	1	['2']
wing	7.659137734273875e-06	1	['2']
everyone	3.06365509370955e-05	4	['2', '1']
moose	1.531827546854775e-05	2	['1']
useful	9.956879054556038e-05	13	['2', '1']
kiddies	7.659137734273875e-06	1	['2']
our	0.0011948254865467246	156	['3', '2', '0', '1']
tsh	3.06365509370955e-05	4	['0']
apparel	7.659137734273875e-06	1	['1']
ah	0.000245092407496764	32	['3', '2', '1', '0']
pot	7.659137734273875e-06	1	['2']
choo	7.659137734273875e-06	1	['1']
bad	0.00017616016788829912	23	['2', '1']
ziploc	7.659137734273875e-06	1	['2']
lot	0.0003982751621822415	52	['3', '2', '0', '1']
sht	7.659137734273875e-06	1	['0']
fees	7.659137734273875e-06	1	['1']
cooked	7.659137734273875e-06	1	['2']
invasive	0.0006050718810076362	79	['2', '0', '1']
kinda	0.0011488706601410813	150	['3', '2', '1', '0']
scandal	7.659137734273875e-06	1	['1']
burnable	7.659137734273875e-06	1	['1']
messed	7.659137734273875e-06	1	['2']
serve	7.659137734273875e-06	1	['1']
jobs	1.531827546854775e-05	2	['2', '1']
so-	7.659137734273875e-06	1	['0']
database	0.00019913758109112075	26	['3', '2', '1', '0']
answer	2.2977413202821626e-05	3	['2', '1']
tried	7.659137734273875e-06	1	['0']
kno-	1.531827546854775e-05	2	['0', '1']
f-	6.1273101874191e-05	8	['2', '0', '1']
toys	0.000551457916867719	72	['2', '1', '0']
online	4.595482640564325e-05	6	['2', '1', '0']
ticks	7.659137734273875e-06	1	['1']
contract	7.659137734273875e-06	1	['2']
h-	1.531827546854775e-05	2	['1']
reality	3.06365509370955e-05	4	['2', '1']
cleaning	3.06365509370955e-05	4	['2', '1']
tha-	7.659137734273875e-06	1	['2']
liters	0.000367638611245146	48	['2', '1', '0']
likely	2.2977413202821626e-05	3	['1', '0']
extreme	7.659137734273875e-06	1	['0']
today	1.531827546854775e-05	2	['2']
repetitive	7.659137734273875e-06	1	['2']
boiled	7.659137734273875e-06	1	['0']
suits	3.06365509370955e-05	4	['2', '0']
smaller	3.06365509370955e-05	4	['2', '1']
efficiency	7.659137734273875e-06	1	['1']
service	0.0001914784433568469	25	['2', '1', '0']
gap	7.659137734273875e-06	1	['2']
island	7.659137734273875e-06	1	['0']
shove	7.659137734273875e-06	1	['2']
and	0.013763470508490154	1797	['3', '2', '1', '0']
doors	1.531827546854775e-05	2	['1', '0']
clubs	2.2977413202821626e-05	3	['2', '1', '0']
obviously	0.00011488706601410813	15	['2', '1']
particularly	7.659137734273875e-06	1	['2']
tramp	1.531827546854775e-05	2	['2', '0']
also	0.0005667761923362668	74	['3', '2', '1', '0']
funds	2.2977413202821626e-05	3	['2', '0']
act	7.659137734273875e-06	1	['0']
hm-hm	7.659137734273875e-06	1	['0']
control	0.0010186653186584254	133	['2', '0', '1']
pat	7.659137734273875e-06	1	['1']
ninety	7.659137734273875e-06	1	['0']
league	0.00044422998858788476	58	['2', '1', '0']
line	3.06365509370955e-05	4	['2', '1']
summer	7.659137734273875e-06	1	['0']
awful	2.2977413202821626e-05	3	['2']
room	0.00022977413202821627	30	['2', '1', '0']
chairs	0.00032934292257377664	43	['2', '0', '1']
told	1.531827546854775e-05	2	['2', '1']
cycle	7.659137734273875e-06	1	['2']
lean	7.659137734273875e-06	1	['1']
v_a_	7.659137734273875e-06	1	['1']
answers	1.531827546854775e-05	2	['2', '0']
wanted	4.595482640564325e-05	6	['2', '1']
c-	2.2977413202821626e-05	3	['1', '0']
dear	1.531827546854775e-05	2	['2']
cleans	7.659137734273875e-06	1	['2']
maslow	7.659137734273875e-06	1	['2']
restock	7.659137734273875e-06	1	['2']
ai-	7.659137734273875e-06	1	['1']
twelve	1.531827546854775e-05	2	['0']
change	3.829568867136938e-05	5	['2', '0', '1']
eh	0.00013786447921692975	18	['2', '1', '0']
sexual	7.659137734273875e-06	1	['2']
moving	6.1273101874191e-05	8	['3', '2', '0', '1']
revisit	1.531827546854775e-05	2	['3', '2']
aim	7.659137734273875e-06	1	['1']
reproduction	7.659137734273875e-06	1	['1']
are	0.0038525462803397593	503	['3', '2', '1', '0']
figure	4.595482640564325e-05	6	['2', '1', '0']
animals	6.893223960846487e-05	9	['3', '2', '0']
foundation	7.659137734273875e-06	1	['2']
his	1.531827546854775e-05	2	['3', '0']
cool	0.0002757289584338595	36	['2', '1', '0']
landscaping	7.659137734273875e-06	1	['0']
toxic	0.0002833880961681334	37	['2', '1', '0']
exciting	7.659137734273875e-06	1	['2']
face	0.00045954826405643253	60	['2', '1', '0']
pothole	0.00020679671882539464	27	['2', '0', '1']
stay	0.00017616016788829912	23	['2', '1', '0']
if	0.003400657154017601	444	['3', '2', '1', '0']
might	0.0006203901564761839	81	['3', '2', '1', '0']
sort	0.000490184814993528	64	['3', '2', '1', '0']
free	0.00042891171311933705	56	['3', '2', '1', '0']
licensed	9.956879054556038e-05	13	['2', '0', '1']
were	0.0007659137734273876	100	['2', '1', '0']
their	0.00044422998858788476	58	['2', '1']
depends	0.0001914784433568469	25	['3', '2', '1', '0']
loxory	7.659137734273875e-06	1	['1']
drain	7.659137734273875e-06	1	['2']
here	0.005736694162971133	749	['3', '2', '1', '0']
stove	4.595482640564325e-05	6	['2', '0', '1']
see	0.002090944601456768	273	['3', '2', '1', '0']
clue	7.659137734273875e-06	1	['1']
lotta	5.361396413991713e-05	7	['2', '1']
tweezers	0.0004672074017907064	61	['2', '1', '0']
lucky	7.659137734273875e-06	1	['1']
pee	7.659137734273875e-06	1	['2']
legit	7.659137734273875e-06	1	['1']
ah-ha	7.659137734273875e-06	1	['1']
themselves	0.00011488706601410813	15	['2', '0', '1']
both	0.00022977413202821627	30	['2', '1', '0']
name	7.659137734273875e-06	1	['3']
shows	1.531827546854775e-05	2	['0']
pulled	7.659137734273875e-06	1	['1']
category	0.0002527515452310379	33	['2', '1', '0']
traumatic	7.659137734273875e-06	1	['2']
eat	4.595482640564325e-05	6	['2', '1', '0']
implements	2.2977413202821626e-05	3	['1']
.	0.11618146029120041	15169	['3', '2', '1', '0']
currently	1.531827546854775e-05	2	['2', '1']
vets	1.531827546854775e-05	2	['1', '0']
dark	7.659137734273875e-06	1	['0']
myself	4.595482640564325e-05	6	['2', '0', '1']
lovers	7.659137734273875e-06	1	['1']
picnic	4.595482640564325e-05	6	['2', '1']
similarly	7.659137734273875e-06	1	['1']
thin	7.659137734273875e-06	1	['1']
meyer	2.2977413202821626e-05	3	['2', '1']
scary	1.531827546854775e-05	2	['2', '0']
further	1.531827546854775e-05	2	['0', '1']
marijuana	5.361396413991713e-05	7	['2', '0', '1']
burden	7.659137734273875e-06	1	['2']
certify	1.531827546854775e-05	2	['2', '1']
wave	7.659137734273875e-06	1	['1']
alright	0.001776919954351539	232	['3', '2', '0', '1']
density	7.659137734273875e-06	1	['0']
does	0.0010263244563926994	134	['3', '2', '1', '0']
departments	3.06365509370955e-05	4	['2', '0', '1']
cooler	7.659137734273875e-06	1	['1']
sector	2.2977413202821626e-05	3	['2', '1']
humans	2.2977413202821626e-05	3	['2']
everything	0.00016084189241975138	21	['2', '1', '0']
guess	0.0012101437620152724	158	['2', '1', '0']
sufficient	7.659137734273875e-06	1	['2']
precut	3.829568867136938e-05	5	['0', '1']
happening	7.659137734273875e-06	1	['1']
tax	7.659137734273875e-06	1	['2']
consolidate	7.659137734273875e-06	1	['2']
housewares	3.06365509370955e-05	4	['1', '0']
puppies	3.829568867136938e-05	5	['2', '0', '1']
ride	1.531827546854775e-05	2	['3', '2']
bak	7.659137734273875e-06	1	['0']
wine	1.531827546854775e-05	2	['2']
threat	7.659137734273875e-06	1	['2']
near	0.0006893223960846488	90	['2', '1', '0']
preserve	1.531827546854775e-05	2	['1']
third	3.06365509370955e-05	4	['1', '0']
stir-fry	7.659137734273875e-06	1	['1']
relate	1.531827546854775e-05	2	['2', '1']
insured	7.659137734273875e-06	1	['2']
outsides	7.659137734273875e-06	1	['2']
,	0.053476099660700195	6982	['3', '2', '1', '0']
pack	7.659137734273875e-06	1	['3']
fleece	0.00016084189241975138	21	['2', '1', '0']
boy	0.0002604106829653118	34	['2', '1', '0']
liquor	7.659137734273875e-06	1	['1']
nineteen	1.531827546854775e-05	2	['0']
gave	2.2977413202821626e-05	3	['2', '0']
honed	7.659137734273875e-06	1	['2']
soybeans	0.00032934292257377664	43	['2', '1', '0']
trick	7.659137734273875e-06	1	['2']
accidentally	7.659137734273875e-06	1	['2']
consumable	7.659137734273875e-06	1	['1']
each	0.0004365708508536109	57	['2', '1', '0']
actual	7.659137734273875e-06	1	['2']
thank	7.659137734273876e-05	10	['2', '1', '0']
woman	7.659137734273875e-06	1	['2']
years	3.06365509370955e-05	4	['2', '1', '0']
worded	7.659137734273875e-06	1	['2']
spay	2.2977413202821626e-05	3	['2']
overpopulation	7.659137734273875e-06	1	['2']
reneged	7.659137734273875e-06	1	['2']
trap	7.659137734273875e-06	1	['2']
with	0.00541501037813163	707	['3', '2', '1', '0']
staple	7.659137734273875e-06	1	['2']
w_	7.659137734273875e-06	1	['1']
homeowner	7.659137734273875e-06	1	['2']
streams	7.659137734273875e-06	1	['2']
circulars	7.659137734273875e-06	1	['1']
flooding	7.659137734273875e-06	1	['1']
other	0.001049301869595521	137	['3', '2', '1', '0']
beats	2.2977413202821626e-05	3	['2', '1', '0']
umbrella	7.659137734273875e-06	1	['2']
own-	7.659137734273875e-06	1	['0']
throw	2.2977413202821626e-05	3	['2', '1']
crucial	7.659137734273875e-06	1	['2']
luxury	3.06365509370955e-05	4	['2', '1']
wait	0.0001914784433568469	25	['2', '1']
sweaters	0.00035232033577659825	46	['3', '2', '0', '1']
!	0.002818562686212786	368	['3', '2', '1', '0']
pa-yeah	7.659137734273875e-06	1	['1']
u-	7.659137734273875e-06	1	['0']
read	0.00020679671882539464	27	['2', '1', '0']
factories	5.361396413991713e-05	7	['2', '1', '0']
uh	0.004825256772592541	630	['3', '2', '0', '1']
bags	0.0008118685998330308	106	['2', '0', '1']
coleman	1.531827546854775e-05	2	['1']
offenders	2.2977413202821626e-05	3	['2', '1']
uber	7.659137734273875e-06	1	['0']
may	0.000122546203748382	16	['2', '1', '0']
stranger	7.659137734273875e-06	1	['1']
meet	7.659137734273875e-06	1	['2']
awkward	7.659137734273875e-06	1	['2']
themself	7.659137734273875e-06	1	['2']
roughly	7.659137734273875e-06	1	['2']
toilets	1.531827546854775e-05	2	['1']
gilman	7.659137734273875e-06	1	['0']
attack	7.659137734273875e-06	1	['0']
makes	0.0005208213659306236	68	['3', '2', '1', '0']
involved	2.2977413202821626e-05	3	['2']
recognize	7.659137734273875e-06	1	['1']
b_	7.659137734273875e-06	1	['2']
sundries	3.829568867136938e-05	5	['2', '1']
mess	1.531827546854775e-05	2	['1']
of-	7.659137734273875e-06	1	['1']
youngster	7.659137734273875e-06	1	['2']
agriculture	7.659137734273875e-06	1	['2']
suppose	0.0001302053414826559	17	['2', '0', '1']
cancer	7.659137734273875e-06	1	['2']
time	0.00032934292257377664	43	['3', '2', '0', '1']
unemployed	7.659137734273875e-06	1	['2']
crazy	6.893223960846487e-05	9	['3', '2', '1', '0']
illegal	7.659137734273875e-06	1	['2']
sections	1.531827546854775e-05	2	['1']
cuttable	7.659137734273875e-06	1	['1']
students	3.829568867136938e-05	5	['2', '1']
resolve	7.659137734273875e-06	1	['2']
flour	7.659137734273875e-06	1	['2']
yeah-	7.659137734273875e-06	1	['2']
iowa	7.659137734273875e-06	1	['2']
yesterday	7.659137734273875e-06	1	['0']
educatio-	7.659137734273875e-06	1	['0']
class-	7.659137734273875e-06	1	['0']
jugs	0.0004978439527278019	65	['2', '0', '1']
sitting	7.659137734273875e-06	1	['2']
wreck	7.659137734273875e-06	1	['2']
fills	7.659137734273875e-06	1	['2']
transition	7.659137734273875e-06	1	['1']
network	7.659137734273875e-06	1	['2']
dangerous	7.659137734273875e-06	1	['2']
indicates	7.659137734273875e-06	1	['1']
rows	7.659137734273875e-06	1	['1']
parties	7.659137734273875e-06	1	['1']
where	0.001654373750603157	216	['3', '2', '0', '1']
arbitrary	1.531827546854775e-05	2	['1']
many	0.0003829568867136938	50	['3', '2', '0', '1']
toasted	7.659137734273875e-06	1	['1']
expense	2.2977413202821626e-05	3	['2', '0', '1']
literally	7.659137734273875e-06	1	['2']
captain	7.659137734273875e-06	1	['2']
wealthy	1.531827546854775e-05	2	['2']
rally	1.531827546854775e-05	2	['2', '1']
eating	7.659137734273875e-06	1	['0']
coordinate	7.659137734273875e-06	1	['2']
head	3.829568867136938e-05	5	['2', '1', '0']
row	4.595482640564325e-05	6	['2', '1']
combine	2.2977413202821626e-05	3	['2', '1']
replaceable	7.659137734273875e-06	1	['1']
retirement	7.659137734273875e-06	1	['3']
informational	7.659137734273875e-06	1	['2']
pick	0.0002527515452310379	33	['2', '1', '0']
bucks	7.659137734273875e-06	1	['3']
earthcorps	7.659137734273875e-06	1	['0']
double	7.659137734273875e-06	1	['1']
ate	7.659137734273875e-06	1	['0']
fountains	7.659137734273875e-06	1	['3']
follows	7.659137734273875e-06	1	['1']
easily	5.361396413991713e-05	7	['2', '0', '1']
existing	1.531827546854775e-05	2	['1', '0']
publicly	3.829568867136938e-05	5	['2', '0']
mean	0.0019301027090370165	252	['3', '2', '1', '0']
brings	3.06365509370955e-05	4	['2', '1']
larry	2.2977413202821626e-05	3	['3', '1']
recommendations	1.531827546854775e-05	2	['2']
quick	2.2977413202821626e-05	3	['1', '0']
